rid,producer
r5261,Satomi Shiba
r5279,C's Ware
r5284,SMEE
r5286,Silver Bullet
r5287,C's Ware
r5290,LiLiM DARKNESS
r5306,CUBE
r5310,Leaf
r5316,KISS
r5321,C's Ware
r5321,Imadio
r5325,C's Ware
r5325,Game Village
r5335,TOPCAT
r5336,LiLiM DARKNESS
r5343,MOONSTONE
r5343,MOONSTONE Cherry
r5356,Courreges Ace
r5357,Cyc
r5367,Noctovision
r5367,SPEED
r5369,Swaneye
r5370,Akabei Soft
r5370,Mixed Up
r5373,Swanmania
r5378,Swanmania
r5379,Matsuri Kikaku
r5386,West Vision
r5392,Swaneye+
r5393,Muscadet
r5405,Rapapuru
r5407,Black Lilith
r5413,Waffle
r5419,Angel Soft
r5424,Matsuri Kikaku
r5425,Haoh Darkness
r5425,Haou
r5448,TOP
r5457,Guilty
r5472,Usagi Software
r5493,otherwise
r5494,Bandai Namco Entertainment Inc.
r5494,Gust
r5500,age
r5500,rúf
r5503,age
r5503,rúf
r5511,AniSeed
r5511,"Silver Co., Ltd."
r5531,Riddle Soft
r5538,Haou
r5547,Kogado Studio
r5547,Kuroneko-san Team
r5555,FLAT
r5557,Msize
r5560,Msize
r5562,Msize
r5563,Marmalade
r5564,AMEDEO
r5567,Talestune
r5572,Moe♂
r5573,Talestune
r5584,ainos
r5584,Yui Koubou
r5585,GN Software
r5585,Regista
r5592,Patisserie
r5594,Softhouse-Seal
r5602,VALKYRIA
r5603,Kurumi
r5603,NekoNeko Soft
r5610,Sumomo
r5612,Sumomo
r5616,CrossOver
r5627,Winters
r5653,Swan
r5656,TinkerBell
r5665,Norn
r5679,SEGA
r5690,Atelier Kaguya
r5690,Atelier Kaguya TEAM HEARTBEAT
r5696,Black Lilith
r5706,Guilty
r5708,rouge
r5718,Atelier Kaguya
r5718,Atelier Kaguya TEAM HEARTBEAT
r5720,Norn
r5723,FAVORITE
r5729,rouge
r5733,Swanmania
r5736,Chocolatier
r5737,feng
r5750,Leaf
r5771,CIRCUS
r5781,FOG
r5781,Nippon Ichi Software
r5781,O-TWO inc.
r5781,Use
r5788,Hiqo Soft
r5791,Silky's
r5796,DISCOVERY
r5799,DISCOVERY
r5803,DISCOVERY
r5823,KONAMI
r5826,FlyingShine
r5841,Leaf
r5842,Leaf
r5848,feng
r5851,Guilty+
r5853,Guilty+
r5860,Alice Soft
r5869,Rose Tiara
r5872,KID
r5876,Patissier
r5885,Mirai
r5900,Softhouse-Seal
r5902,Willow Soft
r5935,Rootnuko
r5938,TinkerBell
r5947,D.O.
r5950,BISHOP
r5964,Belisama
r5970,Fuguriya
r5990,Shiritsu Sakuranbo Shougakkou
r5991,LiLiM
r6000,Softhouse-Seal
r6007,C's Ware
r6008,LiLiM
r6010,Noir Soft
r6016,Ark Shell
r6016,unicorn-a
r6022,"F&C Co., Ltd."
r6022,F&C FC01
r6031,Mirai
r6042,Alice Soft
r6044,Benitanuki
r6058,TinkerBell
r6062,Pin-Point
r6066,Alice Soft
r6071,Blue Gale
r6075,Applemint
r6096,Key
r6097,propeller
r6098,Chunsoft
r6100,SQUEEZ
r6137,Lilith Soft
r6138,Black Lilith
r6146,TOP
r6148,TOP
r6150,HaccaWorks*
r6154,Purple software
r6155,GIGA
r6190,IMAGE CRAFT
r6192,Lune
r6210,May-Be SOFT
r6219,"Amenonuboko Co., Ltd."
r6219,Rose Tiara
r6222,Nomad
r6228,Cross Talk
r6234,"F&C Co., Ltd."
r6234,RED-ZONE
r6241,Satomi Shiba
r6251,elf
r6254,elf
r6256,Takayashiki Kaihatsu
r6262,ApRicoT
r6265,Kasuga Soft
r6266,Kasuga Soft
r6267,Navel
r6269,Longshot
r6269,NEC Interchannel
r6283,Shiritsu Sakuranbo Shougakkou
r6284,INTERHEART
r6297,Atelier Kaguya
r6297,Atelier Kaguya HonkyTonk Pumpkin
r6298,Mink
r6309,Bushiroad
r6313,Momo-Fero
r6324,Lilith Soft
r6338,minori
r6352,Black Cyc
r6353,KeroQ
r6359,Bloom Handle
r6362,Spray
r6364,"Interheart Co., Ltd."
r6364,Swallowtail
r6375,Koei
r6376,Alice Blue
r6378,Alice Blue
r6391,Syangrila
r6420,"Design Factory Co., Ltd."
r6420,"Idea Factory Co., Ltd."
r6420,Otomate
r6424,SPEED
r6424,Studio Jikkenshitsu
r6439,Ail
r6439,Ail [Team Riva]
r6457,Kougasha
r6471,ZERO
r6478,Heterodoxy
r6479,TinkerBell
r6482,Heterodoxy
r6483,Delta
r6493,flap
r6499,Silky's
r6511,Nippon Ichi Software
r6514,Black Cyc
r6516,Black Cyc
r6517,Black Cyc
r6518,Black Cyc
r6521,C's Ware
r6521,Game Village
r6533,Blue Gale
r6544,Complet's
r6547,An*tique
r6547,Moon Parrot
r6555,OLE-M
r6559,Empress
r6565,KONAMI
r6579,Atelier Kaguya
r6579,Atelier Kaguya P-ch
r6603,Vanadis
r6647,Fuguriya
r6653,Sogna
r6662,BeF
r6671,Sogna
r6693,B Works
r6697,Nintendo
r6697,Nintendo R&D1
r6715,Pink Clover
r6719,Tarte
r6728,ScooP
r6730,Ferret
r6744,Marine Heart
r6754,Ail
r6780,Softhouse-Seal
r6785,BISHOP
r6790,Selen
r6798,Black Lilith
r6807,Moon Parrot
r6817,α
r6835,AniSeed
r6835,"Silver Co., Ltd."
r6844,Optim
r6847,Cyc Rosé
r6855,CIRCUS
r6882,Artemis.
r6896,Monokuro Metal Neko
r6902,Puppet
r6921,Fusyro
r6923,Ritz software
r6933,Ritz software
r6936,Ritz software
r6938,Ritz software
r6945,Kogado Studio
r6951,Hiyokobanchou
r6965,KeroQ
r6971,Kyoushuu Hanaya
r6989,Eushully
r6992,Lilith Soft
r6998,Fusyro
r6999,Fusyro Mini
r7001,Fusyro Mini
r7004,Talestune
r7008,Talestune
r7009,Talestune
r7010,Talestune
r7011,OVERDRIVE
r7047,ASa Project
r7063,Mink
r7065,Kyoushuu Hanaya
r7067,Kumys
r7085,etude
r7089,KID
r7091,KID
r7100,Magical Girl
r7114,Liquid
r7121,Guilty
r7126,Under Lip
r7134,BLACK PACKAGE
r7134,BP-5800
r7143,Wanko Soft
r7143,Yumesta
r7145,Kadokawa Shoten
r7145,Regista
r7145,Stage-nana
r7163,Cherry Soft
r7170,Dieselmine
r7174,Mink
r7174,M no Violet
r7180,Ume Soft
r7197,Discovery Mars
r7209,TYPE-MOON
r7222,Hiyokobanchou
r7228,Sage
r7228,SQUADRA D
r7236,Hina Soft
r7236,Kuro Hina
r7251,Strikes
r7256,Unison Shift
r7256,Unison Shift: Blossom
r7286,Softhouse-Seal
r7292,Swanmania
r7302,Landkarte
r7321,Msize
r7325,P.o.l.c.
r7364,KeroQ
r7367,KeroQ
r7369,HOOKSOFT
r7372,ninetail
r7398,Enix
r7436,SEGA
r7437,SEGA
r7444,SEGA
r7446,age
r7467,Parthenon
r7476,M na Red
r7480,Kadokawa Shoten
r7480,Regista
r7480,Stage-nana
r7484,Le.Chocolat
r7515,Rose Crown
r7517,Black Lilith
r7525,RIFF*RAFF
r7529,Studio Jaren
r7591,SofthouseChara
r7600,Kanisky
r7616,Key
r7626,KCET
r7626,KONAMI
r7671,Akatsuki WORKS
r7678,#define
r7720,GIGA
r7744,Debo no Su Seisakusho
r7746,Sundervolt
r7750,Whirlpool
r7753,Tactics
r7765,Gyuunyuu Soft
r7774,Hiyokobanchou
r7783,Hiyokobanchou
r7814,"Design Factory Co., Ltd."
r7814,"Idea Factory Co., Ltd."
r7814,Otomate
r7828,sprite
r7832,Winters
r7838,Softhouse-Seal
r7838,softhouse-seal GRANDEE
r7842,Atelier Kaguya
r7842,Atelier Kaguya TEAM HEARTBEAT
