vn_id,rid,vn_title,age_rating,vn_length_str,vn_length_h,has_anime,is_nukige
v979,r1952,Harukoi * Otome ~Otome no Sono de Gokigen'you.~,18,10-30 h,40.007,t,f
v991,r84234,Taimanin Asagi Gaiden ~Chaos Arena Hen~,18,0-2 h,1.083,f,t
v992,r1969,Danzai no Maria -The Exorcism of Maria-,0,50+ h,34.750,f,f
v1000,r5826,Noel,18,10-30 h,18.317,f,f
v1001,r1979,CARNIVAL,18,2-10 h,12.639,f,f
v1002,r2881,Hoshiuta,0,30-50 h,16.183,f,f
v1009,r3209,"Asaki, Yumemishi",0,10-30 h,14.000,f,f
v1011,r1688,Gakuen Heaven: Okawari!,15,2-10 h,13.000,f,f
v1012,r1994,Koko wa Rakuensou,18,2-10 h,1.681,f,t
v1013,r1997,Koko wa Rakuensou 2,18,2-10 h,1.110,f,t
v1015,r24058,Kin'iro no Corda 2,0,10-30 h,48.000,t,f
v1019,r2010,Sengoku no Imouto Shichinin no Imouto,18,10-30 h,4.317,f,f
v1023,r10463,Scarlett,18,10-30 h,16.510,f,f
v1024,r2017,StarTRain,18,10-30 h,26.833,f,f
v1025,r2020,ef - First Fan Disc,0,Unknown,0.606,f,f
v1027,r2023,Shikkoku no Sharnoth ~What a beautiful tomorrow~,18,10-30 h,22.685,f,f
v1030,r2030,Bible Black -The Infection-,18,2-10 h,4.600,f,t
v1031,r65247,Airebo ~IDOL☆REVOLUTION~,0,10-30 h,4.517,f,f
v1041,r2044,Before Dawn Daybreak ~Shin'en no Utahime~,18,Unknown,18.000,f,f
v1044,r2051,Guren,18,10-30 h,13.600,t,f
v1045,r105245,Guren Tenshou -Shura-,18,2-10 h,5.983,f,f
v1046,r2053,Amatsukaze ~Kugutsu Jinpuu-chou~,18,50+ h,117.500,f,f
v1049,r2058,Fuyu no Rondo,18,10-30 h,11.833,f,f
v1051,r2080,Yukiuta,18,10-30 h,9.417,f,f
v1052,r14823,Concerto Note,0,10-30 h,32.000,f,f
