vndb_id,vn_name,release_year,release_month,rating_bayesian,vn_vote_count
v10984,Appare! Tenka Gomen [Matsuri] ~Koi to Arashi wa Ooedo no Hana~ (あっぱれ！天下御免［祭］ ～恋と嵐は大江戸の華～),2012,12,723,50
v10985,Mirai wa Kimi ni Koishiteru (未来はキミに恋してる),2012,11,613,11
v1099,Secret Game ~Killer Queen~,2008,8,698,171
v10999,Tsukiakari Lunch (月あかりランチ),2013,4,715,56
v11,Fate/stay night,2003,10,861,15646
v110,Koisuru Oukoku (恋する王国),2001,1,632,322
v11001,Silver Gene ~The Mutia Chronicle 1~ (シルバージーン ～the mutia chronicle 1～),2001,3,,4
v1101,Koyoi mo Meshimase Alicetale (今宵も召しませAlicetale),2003,9,661,6
v1102,Shiritsu Akihabara Gakuen (私立アキハバラ学園),2003,8,686,7
v1103,"Nee, Chanto Shiyou yo! 2 (姉、ちゃんとしようよっ！2)",2004,6,688,31
v11033,Ourai no Gahkthun ~What a Shining Braves~ (黄雷のガクトゥーン～What a shining braves～),2012,11,748,772
v11040,"Aniyome Chijoku no Time Sale ~Otto ni wa Ienai, Himitsu no Part~ (兄嫁・恥辱のタイムセール ～夫には言えない、秘密のパート～)",2012,8,635,22
v1105,Yuuguu Settai ~Kotou no Gokuraku e Youkoso~ (優遇接待～孤島の極楽へようこそ～),2003,5,670,12
v11052,Loveressive (ラヴレッシブ),2013,1,718,67
v11054,Maou-sama no Haramase Douchuuki (魔王様の孕ませ道中記),2012,9,581,14
v1106,Gibo Shimai (犠母姉妹),2003,2,695,11
v11069,Love of Ren'ai Koutei of LOVE! (らぶおぶ恋愛皇帝 of LOVE！),2013,4,722,115
v1107,"Hateshinaku Aoi, Kono Sora no Shita de... (果てしなく青い、この空の下で…)",2000,6,754,63
v11070,Shiro no Pikapika Ohoshi-sama (しろのぴかぴかお星さま),2012,11,719,42
v11071,Bishoujo Mangekyou -Wasurenagusa to Eien no Shoujo- (美少女万華鏡 -忘れな草と永遠の少女-),2012,7,729,553
v11072,Chiisana Kanojo no Sayokyoku (ちいさな彼女の小夜曲),2013,10,737,99
v11073,Bokura no Ue ni Sora wa Mawaru (僕らの頭上に星空は廻る),2013,2,683,32
v11081,Yume ka Utsutsu ka Matryoshka (夢か現かマトリョーシカ),2013,8,669,52
v11082,LOVE×EVOLUTION,2009,9,660,18
v11092,Himegoto Masquerade ~Ojousama-tachi no Tawamure~ (ヒメゴト・マスカレイド～お嬢様たちの戯れ～),2012,10,668,32
v11093,Tokeijikake no Ley Line -Zan'ei no Yoru ga Akeru Toki- (時計仕掛けのレイライン －残影の夜が明ける時－),2013,1,797,838
v111,Tokimeki Check-in! (ときめきCheck in!),1999,1,606,468
v11108,Princess Arthur,2013,3,686,52
v11109,Genrou (源狼),2012,8,671,10
v1111,Mamanyonyo (ままにょにょ),2003,2,648,97
v11110,"Kimi e Okuru, Sora no Hana (キミへ贈る、ソラの花)",2012,10,722,105
v11118,Fragment's Note,2012,8,671,159
v1113,"Tenohira o, Taiyou ni (てのひらを、たいように)",2003,1,732,15
v11132,Arabians Doubt ~The Engagement on Desert~ (アラビアンズ・ダウト ～The engagement on desert～),2014,1,626,6
v11143,Little Hole ~Ore no Musume ga Konna ni ... na Hazu ga Nai (りとるほーる ～俺の娘がこんなに……なハズがない),2012,10,550,53
v1115,Sore wa Maichiru Sakura no You ni (それは舞い散る桜のように),2002,6,739,100
v11154,ChuSinGura 46+1 Hyakka Sakigake Hen (ChuSinGura 46+1 -忠臣蔵 46+1- 百花魁編),2012,8,759,27
v11157,ChuSinGura 46+1 Edo Kyuushin-ha Hen (ChuSinGura46+1 -忠臣蔵46+1- 江戸急進派編-Edo radical faction),2011,12,807,26
v1116,Lost Passage,2002,6,625,10
v11164,Hyakki Yakou (百機夜行),2012,8,739,56
v1117,Shihen 69 ~Shin'en no Messiah~ (詩篇69～深淵のメサイア～),2007,9,680,9
v11174,Ore no Yome ~Anata Dake no Hanayome~ (俺の嫁 ～あなただけの花嫁～),2010,10,,3
v11175,Instant Brain (インスタントブレイン),2011,11,,1
v11179,Norn9 ~Norn + Nonette~ (NORN9 ~ノルン+ノネット~),2013,5,735,560
v1118,Triangle Heart (とらいあんぐるハート),1998,12,662,21
v11182,Game ni Natta yo! Dokuro-chan ~Kenkou Shindan Daisakusen~ (ゲームになったよ!ドクロちゃん〜健康診断大作戦〜),2005,11,669,7
v11186,AMNESIA CROWD,2013,4,739,121
v1119,Mahou Senshi Sweet Knights ~Heroine Ryoujoku Shirei~ (魔法戦士スイートナイツ～ヒロイン凌辱指令～),2002,5,763,14
v11193,Natsu no Owari no Nirvana (夏の終わりのニルヴァーナ),2012,12,683,40
v11194,Lovesick Puppies -Bokura wa Koi Suru Tame ni Umaretekita- (LOVESICK PUPPIES -僕らは恋するために生まれてきた-),2012,10,761,202
v11199,Docchi ni Suru no!? ~Onna Kyoushi to Kouhai to ...... Tokidoki Hitozuma~ (どっちにするの!?～女教師と後輩と……ときどき人妻～),2008,8,,4
v112,Snow Drop,2000,7,559,421
