music_id,vndb_id
1867,v1147
1868,v1148
1869,v1150
1870,v1150
1871,v1151
1872,v1151
1873,v1151
1874,v1151
1876,v1151
1878,v1151
1879,v1152
1879,v1153
1879,v1284
1881,v1152
1882,v1152
1882,v1153
1882,v1284
1883,v1152
1883,v1284
1884,v1152
1884,v1153
1885,v1153
1886,v1153
1889,v1154
1890,v1155
1891,v1155
1892,v1155
1893,v1155
1894,v1155
1895,v1155
1896,v1155
1897,v1155
1898,v11316
1898,v1155
1899,v1155
1900,v1155
1901,v1155
1903,v1157
1904,v1158
1905,v1159
1906,v1160
1907,v1160
1908,v1161
1908,v1161
1910,v1162
1911,v1163
1912,v1163
1913,v1165
1917,v1167
1921,v1170
1922,v1170
1923,v1170
1923,v1171
1924,v1170
1925,v1171
1926,v1171
1927,v1171
1928,v1171
1929,v1173
1930,v1173
1931,v1175
1932,v1175
1933,v1176
1934,v1176
1935,v1176
1936,v1177
1937,v1179
1938,v1179
1939,v1180
1940,v1180
1941,v1180
1942,v1180
1943,v1180
1944,v1180
1945,v1180
1947,v1181
1948,v1181
1949,v1181
1950,v1181
1951,v1181
1952,v1181
1953,v1181
1954,v1181
1955,v1181
1956,v1183
1957,v1183
1958,v1183
1959,v1183
1960,v1183
1961,v1185
1962,v1185
1963,v1185
1964,v1185
1965,v1186
1966,v1187
1967,v1190
1968,v1193
1969,v1193
1970,v1193
1971,v1193
1972,v1193
1973,v1193
1974,v1194
1974,v1899
1975,v1194
1975,v1899
1976,v1195
1977,v1195
1978,v1196
1979,v1197
1980,v1198
1981,v1198
1982,v1198
1983,v1199
1984,v1199
1985,v1199
1987,v1200
1988,v1203
1989,v1203
1990,v1203
1990,v6780
1991,v1203
1992,v1203
1993,v1204
1994,v1204
1995,v1205
1996,v1205
1997,v1205
1998,v1208
2000,v1209
2001,v1209
2002,v1210
2003,v1211
2004,v1212
2005,v1212
2006,v1213
2007,v1213
2009,v1215
2010,v1215
2011,v1216
2013,v1218
2014,v1218
2015,v1219
2016,v1219
2019,v1224
2020,v1226
2021,v1226
2022,v1227
2023,v1230
2025,v1234
2026,v1234
2027,v1235
2028,v1235
2029,v1238
2030,v1238
2031,v1239
2032,v1241
2033,v1241
2034,v1246
2035,v1246
2036,v1248
2037,v1249
2039,v1253
2040,v1253
2041,v1253
2042,v1253
2043,v1255
2044,v1256
2046,v1257
2047,v1258
2048,v1258
2049,v1259
2050,v1261
2051,v1262
2052,v1262
2053,v1266
2054,v1266
2055,v1268
2056,v1270
2058,v1272
2059,v1272
2060,v1273
2061,v1275
2063,v1277
2064,v1277
2065,v1278
2066,v1278
2068,v1279
2069,v1280
2070,v1280
2071,v1281
2072,v1282
2073,v1282
2074,v1282
2075,v1282
2076,v1284
2077,v1285
2078,v1285
2079,v1286
2080,v1287
2081,v1287
2082,v1287
2083,v1287
2084,v1287
2085,v1287
2086,v1287
2087,v1288
2088,v1288
2089,v1289
2090,v1289
2091,v1293
2092,v1293
2093,v1294
2094,v1294
2095,v1294
2096,v1295
2097,v1295
2098,v1296
2098,v26375
2099,v1299
2100,v1300
2101,v1301
2102,v1303
2103,v1306
2103,v1913
2104,v1306
2105,v1307
2107,v1307
2108,v1308
2109,v1308
2110,v1309
2111,v1310
2112,v1310
2113,v1312
