music_id,music_type,music_name,stat_correct,stat_played,stat_guessed,stat_averageguessms,avg_vote,music_vote_count
184,Insert,fearless,0,15,2,10111,50.0000000000000000,2
186,Ending,Kimi to Ashiato e,0,9,3,19575,60.0000000000000000,1
187,Opening,Tears in Snow,2,16,6,12897,65.0000000000000000,1
188,Opening,divergent flow,4,21,6,13493,,0
189,Ending,Ashita no Omoide,0,57,2,4719,,0
190,Opening,Ranpin,9,26,14,9908,,0
191,Ending,Komorebi,0,4,3,28131,59.0000000000000000,1
192,Ending,Tsubuoto,1,19,7,20201,68.0000000000000000,1
193,Ending,Niji no Kanata e,0,6,2,24358,,0
194,Ending,True drop,10,44,26,9735,,0
195,Opening,Trust in me,61,198,125,16246,,0
196,Opening,"Shounenshoujo yo, Taishi wo Idake",147,468,264,17262,66.3333333333333333,15
197,Ending,live,57,213,135,13800,73.0000000000000000,15
198,Opening,"Tenbu no Mai, Akatsuki no Mon",60,348,176,22227,79.0000000000000000,20
199,Opening,Tamayura,225,660,390,15827,86.6000000000000000,25
200,Insert,Kokoro no Arika,60,236,124,15114,81.0000000000000000,20
201,Opening,Be_Natural,20,71,41,14889,60.0000000000000000,5
202,Insert,Pure Message,4,90,26,10562,35.0000000000000000,8
203,Ending,Hito Shizuku,0,172,68,14292,35.0000000000000000,10
204,Insert,Akai Yakusoku,30,130,76,3254,85.0000000000000000,8
205,Opening,"Tobira Hiraite, Futari Mirai e",17,127,63,31122,70.0000000000000000,4
206,Insert,"Tobira Hiraite, Futari Mirai e (ballad of arterial)",18,156,68,4386,72.5000000000000000,8
207,Insert,It's my precious time!,12,72,42,16115,80.0000000000000000,2
208,Opening,eternal feather,1070,1925,1380,15146,92.0000000000000000,25
209,Opening,emotional flutter,504,1268,812,18103,91.5000000000000000,20
210,Ending,ever forever,735,1590,1040,15159,95.0000000000000000,25
211,Insert,echt forgather,270,642,447,13215,78.3333333333333333,15
212,Ending,Taisetsu na Hito,0,31,8,8448,,0
213,Opening,Koi no Uta,3,26,18,13358,,0
214,Opening,Heart to Heart ~Another Days~,16,62,59,9170,59.0000000000000000,2
215,Opening,0-GRAVITY,1185,2220,1720,14731,92.0000000000000000,25
216,Ending,Muv-Luv,1025,2185,1545,17860,82.6000000000000000,25
216,Opening,Muv-Luv,1025,2185,1545,17860,82.6000000000000000,25
217,Insert,Carry on,635,1425,1135,13836,78.0000000000000000,25
218,Opening,Asu e no Houkou,3850,5470,4650,22051,92.7000000000000000,60
219,Opening,Name ~Kimi no Na wa~,1035,1975,1615,13515,83.0000000000000000,25
220,Opening,Metamorphose,253,497,367,14078,85.0000000000000000,5
221,Ending,Astraea,96,606,372,14611,76.6666666666666667,15
222,Ending,Kizu wa Kaseki ni Naranaikeredo,46,263,148,14835,65.0000000000000000,5
223,Ending,Little More,43,266,155,13410,65.0000000000000000,5
224,Ending,I will.,400,1116,796,14662,70.2500000000000000,20
225,Ending,Harukanaru Chikyuu (Furusato) no Uta,142,458,294,29400,97.5000000000000000,8
226,Opening,divergence,267,1161,687,16258,48.3333333333333333,15
227,Opening,first pain,180,814,488,23173,42.5000000000000000,14
228,Opening,LOVE STEP,548,1612,1032,13855,75.0000000000000000,20
229,Ending,Murasakioto -sion-,156,750,402,18746,86.6666666666666667,15
230,Ending,Rumbling Hearts,72,238,130,2847,77.5000000000000000,8
230,Opening,Rumbling Hearts,72,238,130,2847,77.5000000000000000,8
231,Opening,yours,25,99,59,11068,,0
232,Opening,Kaze no Yukue,16,96,56,13700,,0
233,Opening,Blue tears,39,114,86,8477,,0
234,Opening,sweet passion,44,202,140,12775,80.0000000000000000,2
